--- Telegram Scrape Report ---
Timestamp: 2025-06-23 19:09:58
Total Channels: 1103
Successful Scrapes: 687
Failed Scrapes: 0

--- Channels with Found Configs ---
wxgmrjdcc: 246 configs
lonup_m: 200 configs
soskeynet: 200 configs
yxjnode: 199 configs
v2rayproxy: 163 configs
shadow_socks1: 148 configs
shadow_socks1: 148 configs
v2rayng3: 138 configs
disconnectedconfig: 135 configs
v2rayngrit: 131 configs
configfa: 129 configs
satellitenewspersian: 118 configs
fast_2ray: 113 configs
tgvpn6: 112 configs
jiedianssr: 100 configs
mftizi: 100 configs
v222ray: 100 configs
mftizi: 100 configs
gh_v2rayng: 94 configs
manstervpn: 80 configs
Hope_Net: 79 configs
hope_net: 78 configs
v2rayvlp: 78 configs
jiedianf: 76 configs
v2ray_extractor: 74 configs
freevirgoolnet: 73 configs
v2ra_ng_iran: 71 configs
jiujied: 70 configs
v2rayprotocol: 70 configs
starv2rayn: 64 configs
v2ray_youtube: 64 configs
vpnowl: 64 configs
torang_vpn: 63 configs
v2rayport: 61 configs
fastfreeconfig: 60 configs
v2ray_swhil: 60 configs
v2ray_swhil: 60 configs
shokhmiplus: 59 configs
ghalagyann2: 58 configs
shadowproxy66: 57 configs
v2rayngc: 56 configs
configx2ray: 55 configs
mester_v2ray: 54 configs
mr_vpn123: 54 configs
vpn451: 53 configs
netfreedom0: 52 configs
v2ray_sub: 52 configs
v2rayngconfig: 52 configs
v2rayservere: 52 configs
v2rayvpnclub: 52 configs
starconfigs1: 49 configs
kanfig_majani: 48 configs
wedbaztel: 48 configs
maradona_vpn: 46 configs
prroxyng: 46 configs
v2rayngconfings: 46 configs
v_2rayng0: 45 configs
meli_proxyy: 44 configs
v2rayngalpha: 43 configs
v2rayngalphagamer: 43 configs
proxy48: 42 configs
ir_netproxy: 41 configs
yaney_01: 41 configs
zerobaipiao: 41 configs
dailyv2ray: 40 configs
injectormconf: 40 configs
sajad_titan_s_t_n_v2ray: 39 configs
nepo_v2ray: 38 configs
v2rayza: 38 configs
v2rayngconfiig: 37 configs
v2ray_collector: 36 configs
v2ray_collector: 36 configs
free1_vpn: 35 configs
ohvpn: 35 configs
vpnsupportfast: 35 configs
tehranargo: 34 configs
v2rayngfast: 34 configs
v2rayvx: 34 configs
vpnfreeo: 34 configs
frev2rayng: 32 configs
hopev2ray: 32 configs
meli_v2rayng: 32 configs
outline_vpn: 32 configs
x4azadi: 32 configs
v2ry_proxy: 31 configs
V2ry_Proxy: 31 configs
v2rayngvvpn: 30 configs
IRPUBG: 29 configs
vmessiranproxy: 28 configs
darkma3ter24: 27 configs
dgkbza: 27 configs
mrclud: 27 configs
outlinev2rayng: 27 configs
v2ray_sos: 27 configs
